periodo_mensual,precio_mes,incremento_mensual
01/01/2012,2900,-6.10%
01/02/2012,3000,3.40%
01/03/2012,3100,3.30%
01/04/2012,3150,1.60%
01/05/2012,3200,1.60%
01/06/2012,3300,3.10%
01/07/2012,3350,1.50%
01/08/2012,3370,0.60%
01/09/2012,3490,3.60%
01/10/2012,3450,-1.10%
01/11/2012,3500,1.40%
01/12/2012,3530,0.90%
01/01/2013,3400,-3.70%
01/02/2013,3600,5.90%
01/03/2013,3890,8.10%
01/04/2013,4045,4.00%
01/05/2013,4160,2.80%
01/06/2013,4350,4.60%
01/07/2013,4310,-0.90%
01/08/2013,4400,2.10%
01/09/2013,4327.5,-1.60%
01/10/2013,4355,0.60%
01/11/2013,4300,-1.30%
01/12/2013,4390,2.10%
01/01/2014,4250,-3.20%
01/02/2014,4320,1.60%
01/03/2014,4500,4.20%
01/04/2014,4580,1.80%
01/05/2014,4660,1.70%
01/06/2014,4650,-0.20%
01/07/2014,4750,2.20%
01/08/2014,4790,0.80%
01/09/2014,4700,-1.90%
01/10/2014,4750,1.10%
01/11/2014,4650,-2.10%
01/12/2014,4680,0.60%
01/01/2015,4650,-0.60%
01/02/2015,4700,1.10%
01/03/2015,4800,2.10%
01/04/2015,4950,3.10%
01/05/2015,4950,0.00%
01/06/2015,5075,2.50%
01/07/2015,5050,-0.50%
01/08/2015,5100,1.00%
01/09/2015,4990,-2.20%
01/10/2015,4990,0.00%
01/11/2015,4960,-0.60%
01/12/2015,5100,2.80%
01/01/2016,5000,-2.00%
01/02/2016,5000,0.00%
01/03/2016,5190,3.80%
01/04/2016,5300,2.10%
01/05/2016,5400,1.90%
01/06/2016,5400,0.00%
01/07/2016,5405,0.10%
01/08/2016,5450,0.80%
01/09/2016,5350,-1.80%
01/10/2016,5400,0.90%
01/11/2016,5450,0.90%
01/12/2016,5350,-1.80%
01/01/2017,5400,0.90%
01/02/2017,5400,0.00%
01/03/2017,5550,2.80%
01/04/2017,5600,0.90%
01/05/2017,5780,3.20%
01/06/2017,5862.5,1.40%
01/07/2017,5900,0.60%
01/08/2017,5900,0.00%
01/09/2017,5890,-0.20%
01/10/2017,5770,-2.00%
01/11/2017,5890,2.10%
01/12/2017,5850,-0.70%
01/01/2018,5750,-1.70%
01/02/2018,5950,3.50%
01/03/2018,6020,1.20%
01/04/2018,6100,1.30%
01/05/2018,6300,3.30%
01/06/2018,6327.5,0.40%
01/07/2018,6270,-0.90%
01/08/2018,6280,0.20%
01/09/2018,6150,-2.10%
01/10/2018,6122.5,-0.40%
01/11/2018,6222.5,1.60%
01/12/2018,6000,-3.60%
01/01/2019,5920,-1.30%
01/02/2019,6000,1.40%
01/03/2019,6200,3.30%
01/04/2019,6265,1.00%
01/05/2019,6270,0.10%
01/06/2019,6350,1.30%
01/07/2019,6500,2.40%
01/08/2019,6350,-2.30%
01/09/2019,6400,0.80%
01/10/2019,6420,0.30%
01/11/2019,6400,-0.30%
01/12/2019,6500,1.60%
01/01/2020,6350,-2.30%
01/02/2020,6350,0.00%
01/03/2020,6600,3.90%
01/04/2020,6500,-1.50%
01/05/2020,6350,-2.30%
01/06/2020,6550,3.10%
01/07/2020,7000,6.90%
01/08/2020,7100,1.40%
01/09/2020,7300,2.80%
01/10/2020,7350,0.70%
01/11/2020,7185,-2.20%
01/12/2020,7300,1.60%
01/01/2021,7207.5,-1.30%
01/02/2021,7450,3.40%
01/03/2021,7750,4.00%
01/04/2021,7950,2.60%
01/05/2021,8120,2.10%
01/06/2021,8292.5,2.10%
01/07/2021,8210,-1.00%
01/08/2021,8250,0.50%
01/09/2021,8200,-0.60%
01/10/2021,8100,-1.20%
01/11/2021,8200,1.20%
01/12/2021,8400,2.40%
01/01/2022,8250,-1.80%
01/02/2022,8400,1.80%
01/03/2022,8750,4.20%
01/04/2022,9000,2.90%
01/05/2022,9000,0.00%
01/06/2022,8900,-1.10%
01/07/2022,8615,-3.20%
01/08/2022,8450,-1.90%
01/09/2022,8400,-0.60%
01/10/2022,8250,-1.80%
01/11/2022,8100,-1.80%
01/12/2022,7980,-1.50%
01/01/2023,7980,0.00%
01/02/2023,7950,-0.40%
01/03/2023,8200,3.10%
01/04/2023,8300,1.20%
01/05/2023,8440,1.70%
01/06/2023,8600,1.90%
01/07/2023,8610,0.10%
01/08/2023,8650,0.50%
01/09/2023,8700,0.60%
01/10/2023,8800,1.10%
01/11/2023,8700,-1.10%
01/12/2023,8600,-1.15
01/01/2024,,
01/02/2024,,
01/03/2024,,
01/04/2024,,
01/05/2024,,
01/06/2024,,
01/07/2024,,
01/08/2024,,
01/09/2024,,
01/10/2024,,
01/11/2024,,
01/12/2024,,
01/01/2025,,
01/02/2025,,
01/03/2025,,
01/04/2025,,
01/05/2025,,
01/06/2025,,
01/07/2025,,
01/08/2025,,
01/09/2025,,
01/10/2025,,
01/11/2025,,
01/12/2025,,
